# R. Kawamata 1/2016
# magnification_NW, time-delay_NW, 
# magnification_SE, time-delay_SE, magnification_11.3, and time-delay_11.3.
# The time delays are given in days with respect to 11.3
#  mu1        dt31            mu2           dt32          mu3          
-9.166020e+01  1.808493e+03  1.523449e+02  1.807846e+03  3.020200e+00  
-3.933150e+01  1.823246e+03  8.599810e+01  1.820986e+03  3.069500e+00  
-9.352280e+01  1.761084e+03  1.847151e+02  1.760574e+03  3.133200e+00  
-2.631270e+01  1.405861e+03  1.268427e+02  1.399568e+03  3.528600e+00  
-1.708630e+01  1.359382e+03  7.715110e+01  1.345032e+03  3.537000e+00  
-1.971380e+01  1.594429e+03  8.260290e+01  1.584878e+03  3.274800e+00  
-3.255540e+01  1.806600e+03  6.290610e+01  1.801490e+03  3.069000e+00  
-1.789780e+01  1.656146e+03  4.452330e+01  1.646027e+03  3.133800e+00  
-2.117520e+01  1.664714e+03  6.338780e+01  1.656770e+03  3.143400e+00  
-1.642490e+01  1.553887e+03  6.150130e+01  1.540653e+03  3.239700e+00  
-1.548890e+01  1.598658e+03  3.670960e+01  1.584873e+03  3.194700e+00  
-1.931530e+01  1.725756e+03  5.804530e+01  1.716363e+03  3.051000e+00  
-1.953850e+01  1.594477e+03  4.299250e+01  1.586260e+03  3.123200e+00  
-1.809130e+01  1.728411e+03  4.036980e+01  1.719204e+03  2.954200e+00  
-1.783770e+01  1.844905e+03  5.038090e+01  1.835107e+03  2.874800e+00  
-3.098090e+01  1.987610e+03  6.069700e+01  1.984621e+03  2.910800e+00  
-3.547170e+01  1.989565e+03  6.298150e+01  1.987530e+03  2.891400e+00  
-1.072853e+02  2.082838e+03  1.565690e+02  2.082646e+03  2.814500e+00  
-3.097100e+01  1.821631e+03  7.264120e+01  1.818771e+03  2.993200e+00  
-1.710500e+01  1.816966e+03  8.014440e+01  1.805164e+03  2.971500e+00  
-2.076880e+01  2.044166e+03  4.004700e+01  2.037318e+03  2.817800e+00  
-1.728200e+01  1.830172e+03  4.239370e+01  1.819740e+03  2.938100e+00  
-1.898930e+01  1.523761e+03  6.700280e+01  1.513010e+03  3.282000e+00  
-1.946950e+01  1.545848e+03  9.347610e+01  1.535399e+03  3.283500e+00  
-2.389320e+01  1.660329e+03  8.356570e+01  1.653717e+03  3.117900e+00  
-1.326770e+01  1.715218e+03  4.946530e+01  1.695437e+03  3.011200e+00  
-3.489830e+01  2.215666e+03  1.107384e+02  2.212966e+03  2.701000e+00  
-2.994680e+01  2.213543e+03  1.206562e+02  2.210109e+03  2.709800e+00  
-2.857420e+01  2.217740e+03  1.099791e+02  2.214532e+03  2.705400e+00  
-2.676440e+01  2.039598e+03  1.667337e+02  2.035311e+03  2.783500e+00  
-1.667817e+02  2.221695e+03  2.809930e+02  2.221606e+03  2.761800e+00  
-3.594220e+01  2.045400e+03  1.485344e+02  2.043033e+03  2.802300e+00  
-3.483430e+01  2.394347e+03  1.079390e+02  2.391665e+03  2.600800e+00  
-3.089240e+01  2.059462e+03  9.604170e+01  2.055713e+03  2.747200e+00  
-1.588590e+01  1.567987e+03  4.618020e+01  1.553531e+03  3.085900e+00  
-1.877360e+01  1.680753e+03  5.748510e+01  1.670457e+03  2.981600e+00  
-2.631570e+01  1.702824e+03  5.340540e+01  1.697881e+03  2.952900e+00  
-4.943360e+01  1.783188e+03  7.681120e+01  1.781985e+03  2.991800e+00  
-4.863560e+01  1.701937e+03  9.347450e+01  1.700793e+03  3.078200e+00  
-3.913220e+01  1.787804e+03  1.336027e+02  1.785453e+03  2.968000e+00  
-2.916090e+01  1.793440e+03  7.242370e+01  1.789701e+03  2.950400e+00  
-2.247460e+01  1.666509e+03  7.948620e+01  1.657647e+03  3.024500e+00  
-2.672700e+01  1.808014e+03  9.835900e+01  1.803024e+03  3.027800e+00  
-4.802160e+01  1.975901e+03  2.089742e+02  1.974365e+03  2.868700e+00  
-5.119980e+01  2.014883e+03  2.122903e+02  2.013566e+03  2.838500e+00  
-4.358040e+01  2.024076e+03  2.305435e+02  2.022435e+03  2.825500e+00  
-3.946190e+01  2.023992e+03  1.465074e+02  2.022054e+03  2.738000e+00  
-1.154877e+02  2.196369e+03  6.170893e+02  2.196147e+03  2.680200e+00  
-1.188432e+02  1.903766e+03  1.231404e+03  1.903519e+03  2.832500e+00  
-3.795120e+01  2.227112e+03  9.099510e+01  2.225138e+03  2.624700e+00  
-2.036380e+01  2.395340e+03  3.917730e+01  2.389421e+03  2.542900e+00  
-1.739630e+01  2.138075e+03  4.101700e+01  2.128519e+03  2.724700e+00  
-1.660740e+01  2.075309e+03  5.908780e+01  2.064078e+03  2.706700e+00  
-4.277610e+01  2.068368e+03  2.340429e+02  2.066633e+03  2.741000e+00  
-4.657610e+01  2.014275e+03  1.378297e+02  2.012663e+03  2.825900e+00  
-4.615520e+01  1.946028e+03  1.504802e+02  1.944303e+03  2.853100e+00  
-4.008160e+01  1.942462e+03  1.176933e+02  1.940338e+03  2.865900e+00  
-5.618110e+01  2.052022e+03  2.096758e+02  2.050915e+03  2.827700e+00  
-2.564411e+02  1.809746e+03  6.564571e+02  1.809679e+03  3.004500e+00  
-1.869431e+02  1.987365e+03  4.452720e+02  1.987257e+03  2.902600e+00  
-1.104253e+02  1.673856e+03  4.191491e+02  1.673448e+03  3.147700e+00  
-2.436370e+01  1.640150e+03  7.050060e+01  1.633951e+03  3.205400e+00  
-2.154680e+01  1.552647e+03  6.101850e+01  1.544949e+03  3.144600e+00  
-1.391759e+02  2.089707e+03  4.253968e+02  2.089517e+03  2.753500e+00  
-5.809920e+01  1.659269e+03  3.270896e+02  1.658033e+03  3.080800e+00  
-4.848110e+01  1.649927e+03  1.678488e+02  1.647968e+03  3.107200e+00  
-4.733010e+01  2.048085e+03  1.025302e+02  2.046675e+03  2.784000e+00  
-1.116496e+03  2.089843e+03  1.199748e+03  2.089842e+03  2.744200e+00  
-4.685440e+01  1.995162e+03  1.142186e+02  1.993722e+03  2.745200e+00  
-2.304620e+01  1.609494e+03  8.599880e+01  1.601906e+03  3.068100e+00  
-5.745600e+01  2.051304e+03  1.211423e+02  2.050347e+03  2.748500e+00  
-1.387000e+02  2.209407e+03  2.092672e+02  2.209274e+03  2.640900e+00  
-9.935770e+01  1.984795e+03  2.317081e+02  1.984478e+03  2.783800e+00  
-5.835850e+01  2.066179e+03  1.421697e+02  2.065187e+03  2.777400e+00  
-2.265470e+01  1.759480e+03  7.553880e+01  1.752484e+03  2.888700e+00  
-2.154555e+03  1.970005e+03  3.153432e+03  1.970000e+03  2.847000e+00  
-6.086547e+02  1.918107e+03  3.736556e+02  1.918073e+03  2.901800e+00  
-9.725260e+01  1.570803e+03  5.710699e+02  1.570395e+03  3.064300e+00  
-1.635636e+02  1.836404e+03  9.368221e+02  1.836208e+03  2.934500e+00  
-4.019770e+01  1.692539e+03  1.410923e+02  1.690443e+03  3.074300e+00  
-8.990130e+01  1.666612e+03  1.636874e+02  1.666273e+03  3.096400e+00  
-2.842500e+01  1.735814e+03  7.149890e+01  1.731937e+03  3.017400e+00  
-1.437548e+02  1.928179e+03  1.016571e+03  1.927957e+03  2.867900e+00  
-9.524390e+01  2.062675e+03  2.781298e+02  2.062325e+03  2.747000e+00  
-8.299133e+02  2.088699e+03  1.082607e+03  2.088692e+03  2.779700e+00  
-1.560716e+02  2.221074e+03  2.802444e+02  2.220967e+03  2.729200e+00  
-1.374047e+02  2.132424e+03  6.172889e+02  2.132250e+03  2.736500e+00  
-6.149950e+01  2.020760e+03  2.518172e+02  2.019909e+03  2.736900e+00  
-3.663178e+02  2.016228e+03  2.436346e+02  2.016221e+03  2.816600e+00  
-5.589475e+02  2.145303e+03  7.251644e+02  2.145295e+03  2.741200e+00  
-4.844290e+01  2.199509e+03  8.356630e+01  2.198482e+03  2.760200e+00  
-2.724370e+01  1.985969e+03  7.899280e+01  1.981393e+03  2.894000e+00  
-1.476630e+01  1.708335e+03  4.592630e+01  1.691940e+03  3.073600e+00  
-2.036370e+01  1.677807e+03  9.702100e+01  1.668521e+03  3.111700e+00  
-2.794520e+01  1.741054e+03  1.088488e+02  1.735831e+03  3.172600e+00  
-6.390330e+01  1.958803e+03  3.577102e+02  1.957814e+03  2.977400e+00  
-7.040410e+01  1.941029e+03  1.934049e+02  1.940305e+03  2.982300e+00  
-1.609662e+02  2.053910e+03  5.161450e+02  2.053784e+03  2.887400e+00  
-8.044370e+01  2.142688e+03  1.162962e+03  2.142161e+03  2.782200e+00  
-5.344170e+01  2.100186e+03  2.743139e+02  2.099054e+03  2.736500e+00  
-3.434080e+01  2.109955e+03  1.413309e+02  2.107313e+03  2.729900e+00  
-2.844520e+01  2.131369e+03  8.446500e+01  2.127824e+03  2.704800e+00  
-4.508030e+01  2.092232e+03  6.968330e+01  2.090988e+03  2.788400e+00  
-1.943500e+01  2.113916e+03  4.569140e+01  2.106861e+03  2.672800e+00  
-5.817870e+01  2.328855e+03  1.037207e+02  2.328079e+03  2.620600e+00  
-2.252660e+01  2.059677e+03  4.622030e+01  2.053833e+03  2.787100e+00  
-3.158510e+01  1.919980e+03  6.638870e+01  1.916519e+03  2.927300e+00  
